"Name","Description","Summary","Label_rank","wtdprop","Survey","Survey_Name","Label","Group","Group_rev"
"CSV","Since entering college, have you performed any community/volunteer service?","CSV.yes",2,0.745797843,"CSS","College Senior Survey","Yes","College Experiences","College Experiences"
"CSVCOURSE","Since entering college, how many of your courses have included community service/service learning","CSVCOURSE.no",1,0.532547602,"CSS","College Senior Survey","No","College Experiences","College Experiences"
"CSVCOURSE","Since entering college, how many of your courses have included community service/service learning","CSVCOURSE.yes",2,0.226541544,"CSS","College Senior Survey","Yes","College Experiences","College Experiences"
"REENROLL","If you could make your college choice over, would you still choose to enroll at your current college?","REENROLL.defno",1,0.039375517,"CSS","College Senior Survey","Definitely no","College Satisfaction","College Success and Satisfaction"
"REENROLL","If you could make your college choice over, would you still choose to enroll at your current college?","REENROLL.probno",2,0.11709223,"CSS","College Senior Survey","Probably no","College Satisfaction","College Success and Satisfaction"
"REENROLL","If you could make your college choice over, would you still choose to enroll at your current college?","REENROLL.dontknow",3,0.04209912,"CSS","College Senior Survey","Dont know","College Satisfaction","College Success and Satisfaction"
"REENROLL","If you could make your college choice over, would you still choose to enroll at your current college?","REENROLL.probyes",4,0.386106383,"CSS","College Senior Survey","Probably yes","College Satisfaction","College Success and Satisfaction"
"REENROLL","If you could make your college choice over, would you still choose to enroll at your current college?","REENROLL.defyes",5,0.415326751,"CSS","College Senior Survey","Definitely yes","College Satisfaction","College Success and Satisfaction"
"SATIS01","How satisfied are you with the ability to find a faculty or staff mentor?","SATIS01.cantrate",1,0.063251016,"CSS","College Senior Survey","Cant rate","College Satisfaction","College Success and Satisfaction"
"SATIS01","How satisfied are you with the ability to find a faculty or staff mentor?","SATIS01.dissatisfied",2,0.055112867,"CSS","College Senior Survey","Dissatisfied","College Satisfaction","College Success and Satisfaction"
"SATIS01","How satisfied are you with the ability to find a faculty or staff mentor?","SATIS01.neutral",3,0.190856415,"CSS","College Senior Survey","Neutral","College Satisfaction","College Success and Satisfaction"
"SATIS01","How satisfied are you with the ability to find a faculty or staff mentor?","SATIS01.satisfied",4,0.442195635,"CSS","College Senior Survey","Satisfied","College Satisfaction","College Success and Satisfaction"
"SATIS01","How satisfied are you with the ability to find a faculty or staff mentor?","SATIS01.verysatisfied",5,0.248584066,"CSS","College Senior Survey","Very satisfied","College Satisfaction","College Success and Satisfaction"
"SATIS02","How satisfied are you with the academic advising?","SATIS02.cantrate",1,0.030192571,"CSS","College Senior Survey","Cant rate","College Satisfaction","College Success and Satisfaction"
"SATIS02","How satisfied are you with the academic advising?","SATIS02.dissatisfied",2,0.169165854,"CSS","College Senior Survey","Dissatisfied","College Satisfaction","College Success and Satisfaction"
"SATIS02","How satisfied are you with the academic advising?","SATIS02.neutral",3,0.238893983,"CSS","College Senior Survey","Neutral","College Satisfaction","College Success and Satisfaction"
"SATIS02","How satisfied are you with the academic advising?","SATIS02.satisfied",4,0.394905248,"CSS","College Senior Survey","Satisfied","College Satisfaction","College Success and Satisfaction"
"SATIS02","How satisfied are you with the academic advising?","SATIS02.verysatisfied",5,0.166842344,"CSS","College Senior Survey","Very satisfied","College Satisfaction","College Success and Satisfaction"
"SATIS03","How satisfied are you with the amount of contact with faculty?","SATIS03.cantrate",1,0.007862174,"CSS","College Senior Survey","Cant rate","College Satisfaction","College Success and Satisfaction"
"SATIS03","How satisfied are you with the amount of contact with faculty?","SATIS03.dissatisfied",2,0.038650035,"CSS","College Senior Survey","Dissatisfied","College Satisfaction","College Success and Satisfaction"
"SATIS03","How satisfied are you with the amount of contact with faculty?","SATIS03.neutral",3,0.180012002,"CSS","College Senior Survey","Neutral","College Satisfaction","College Success and Satisfaction"
"SATIS03","How satisfied are you with the amount of contact with faculty?","SATIS03.satisfied",4,0.480624973,"CSS","College Senior Survey","Satisfied","College Satisfaction","College Success and Satisfaction"
"SATIS03","How satisfied are you with the amount of contact with faculty?","SATIS03.verysatisfied",5,0.292850815,"CSS","College Senior Survey","Very satisfied","College Satisfaction","College Success and Satisfaction"
"SATIS05","How satisfied are you with the campus health services?","SATIS05.cantrate",1,0.169673215,"CSS","College Senior Survey","Cant rate","College Satisfaction","College Success and Satisfaction"
"SATIS05","How satisfied are you with the campus health services?","SATIS05.dissatisfied",2,0.167037382,"CSS","College Senior Survey","Dissatisfied","College Satisfaction","College Success and Satisfaction"
"SATIS05","How satisfied are you with the campus health services?","SATIS05.neutral",3,0.245256643,"CSS","College Senior Survey","Neutral","College Satisfaction","College Success and Satisfaction"
"SATIS05","How satisfied are you with the campus health services?","SATIS05.satisfied",4,0.324955498,"CSS","College Senior Survey","Satisfied","College Satisfaction","College Success and Satisfaction"
"SATIS05","How satisfied are you with the campus health services?","SATIS05.verysatisfied",5,0.093077262,"CSS","College Senior Survey","Very satisfied","College Satisfaction","College Success and Satisfaction"
"SATIS06","How satisfied are you with the career counseling and advising?","SATIS06.cantrate",1,0.138692732,"CSS","College Senior Survey","Cant rate","College Satisfaction","College Success and Satisfaction"
"SATIS06","How satisfied are you with the career counseling and advising?","SATIS06.dissatisfied",2,0.159649106,"CSS","College Senior Survey","Dissatisfied","College Satisfaction","College Success and Satisfaction"
"SATIS06","How satisfied are you with the career counseling and advising?","SATIS06.neutral",3,0.272409999,"CSS","College Senior Survey","Neutral","College Satisfaction","College Success and Satisfaction"
"SATIS06","How satisfied are you with the career counseling and advising?","SATIS06.satisfied",4,0.312478167,"CSS","College Senior Survey","Satisfied","College Satisfaction","College Success and Satisfaction"
"SATIS06","How satisfied are you with the career counseling and advising?","SATIS06.verysatisfied",5,0.116769996,"CSS","College Senior Survey","Very satisfied","College Satisfaction","College Success and Satisfaction"
"SATIS07","How satisfied are you with the class size?","SATIS07.cantrate",1,0.003027112,"CSS","College Senior Survey","Cant rate","College Satisfaction","College Success and Satisfaction"
"SATIS07","How satisfied are you with the class size?","SATIS07.dissatisfied",2,0.037564032,"CSS","College Senior Survey","Dissatisfied","College Satisfaction","College Success and Satisfaction"
"SATIS07","How satisfied are you with the class size?","SATIS07.neutral",3,0.132918057,"CSS","College Senior Survey","Neutral","College Satisfaction","College Success and Satisfaction"
"SATIS07","How satisfied are you with the class size?","SATIS07.satisfied",4,0.512695665,"CSS","College Senior Survey","Satisfied","College Satisfaction","College Success and Satisfaction"
"SATIS07","How satisfied are you with the class size?","SATIS07.verysatisfied",5,0.313795134,"CSS","College Senior Survey","Very satisfied","College Satisfaction","College Success and Satisfaction"
"SATIS08","How satisfied are you with the computer facilities?","SATIS08.cantrate",1,0.017782734,"CSS","College Senior Survey","Cant rate","College Satisfaction","College Success and Satisfaction"
"SATIS08","How satisfied are you with the computer facilities?","SATIS08.dissatisfied",2,0.132014138,"CSS","College Senior Survey","Dissatisfied","College Satisfaction","College Success and Satisfaction"
"SATIS08","How satisfied are you with the computer facilities?","SATIS08.neutral",3,0.178388142,"CSS","College Senior Survey","Neutral","College Satisfaction","College Success and Satisfaction"
"SATIS08","How satisfied are you with the computer facilities?","SATIS08.satisfied",4,0.453570567,"CSS","College Senior Survey","Satisfied","College Satisfaction","College Success and Satisfaction"
"SATIS08","How satisfied are you with the computer facilities?","SATIS08.verysatisfied",5,0.21824442,"CSS","College Senior Survey","Very satisfied","College Satisfaction","College Success and Satisfaction"
"SATIS09","How satisfied are you with the connection with your peers?","SATIS09.cantrate",1,0.017887564,"CSS","College Senior Survey","Cant rate","College Satisfaction","College Success and Satisfaction"
"SATIS09","How satisfied are you with the connection with your peers?","SATIS09.dissatisfied",2,0.039945955,"CSS","College Senior Survey","Dissatisfied","College Satisfaction","College Success and Satisfaction"
"SATIS09","How satisfied are you with the connection with your peers?","SATIS09.neutral",3,0.188950244,"CSS","College Senior Survey","Neutral","College Satisfaction","College Success and Satisfaction"
"SATIS09","How satisfied are you with the connection with your peers?","SATIS09.satisfied",4,0.50217353,"CSS","College Senior Survey","Satisfied","College Satisfaction","College Success and Satisfaction"
"SATIS09","How satisfied are you with the connection with your peers?","SATIS09.verysatisfied",5,0.251042707,"CSS","College Senior Survey","Very satisfied","College Satisfaction","College Success and Satisfaction"
"SATIS10","How satisfied are you with the courses in your major field?","SATIS10.cantrate",1,0.015441321,"CSS","College Senior Survey","Cant rate","College Satisfaction","College Success and Satisfaction"
"SATIS10","How satisfied are you with the courses in your major field?","SATIS10.dissatisfied",2,0.04996332,"CSS","College Senior Survey","Dissatisfied","College Satisfaction","College Success and Satisfaction"
"SATIS10","How satisfied are you with the courses in your major field?","SATIS10.neutral",3,0.075564064,"CSS","College Senior Survey","Neutral","College Satisfaction","College Success and Satisfaction"
"SATIS10","How satisfied are you with the courses in your major field?","SATIS10.satisfied",4,0.411476319,"CSS","College Senior Survey","Satisfied","College Satisfaction","College Success and Satisfaction"
"SATIS10","How satisfied are you with the courses in your major field?","SATIS10.verysatisfied",5,0.447554975,"CSS","College Senior Survey","Very satisfied","College Satisfaction","College Success and Satisfaction"
"SATIS12","How satisfied are you with the ethnic/racial diversity of students?","SATIS12.cantrate",1,0.054967427,"CSS","College Senior Survey","Cant rate","College Satisfaction","College Success and Satisfaction"
"SATIS12","How satisfied are you with the ethnic/racial diversity of students?","SATIS12.dissatisfied",2,0.199748914,"CSS","College Senior Survey","Dissatisfied","College Satisfaction","College Success and Satisfaction"
"SATIS12","How satisfied are you with the ethnic/racial diversity of students?","SATIS12.neutral",3,0.382736156,"CSS","College Senior Survey","Neutral","College Satisfaction","College Success and Satisfaction"
"SATIS12","How satisfied are you with the ethnic/racial diversity of students?","SATIS12.satisfied",4,0.297027687,"CSS","College Senior Survey","Satisfied","College Satisfaction","College Success and Satisfaction"
"SATIS12","How satisfied are you with the ethnic/racial diversity of students?","SATIS12.verysatisfied",5,0.065519815,"CSS","College Senior Survey","Very satisfied","College Satisfaction","College Success and Satisfaction"
"SATIS13","How satisfied are you with the financial aid services?","SATIS13.cantrate",1,0.187486121,"CSS","College Senior Survey","Cant rate","College Satisfaction","College Success and Satisfaction"
"SATIS13","How satisfied are you with the financial aid services?","SATIS13.dissatisfied",2,0.146335968,"CSS","College Senior Survey","Dissatisfied","College Satisfaction","College Success and Satisfaction"
"SATIS13","How satisfied are you with the financial aid services?","SATIS13.neutral",3,0.234491542,"CSS","College Senior Survey","Neutral","College Satisfaction","College Success and Satisfaction"
"SATIS13","How satisfied are you with the financial aid services?","SATIS13.satisfied",4,0.322140944,"CSS","College Senior Survey","Satisfied","College Satisfaction","College Success and Satisfaction"
"SATIS13","How satisfied are you with the financial aid services?","SATIS13.verysatisfied",5,0.109545425,"CSS","College Senior Survey","Very satisfied","College Satisfaction","College Success and Satisfaction"
"SATIS14","How satisfied are you with the general education or core curriculum courses?","SATIS14.cantrate",1,0.012260077,"CSS","College Senior Survey","Cant rate","College Satisfaction","College Success and Satisfaction"
"SATIS14","How satisfied are you with the general education or core curriculum courses?","SATIS14.dissatisfied",2,0.06304528,"CSS","College Senior Survey","Dissatisfied","College Satisfaction","College Success and Satisfaction"
"SATIS14","How satisfied are you with the general education or core curriculum courses?","SATIS14.neutral",3,0.168819928,"CSS","College Senior Survey","Neutral","College Satisfaction","College Success and Satisfaction"
"SATIS14","How satisfied are you with the general education or core curriculum courses?","SATIS14.satisfied",4,0.579791254,"CSS","College Senior Survey","Satisfied","College Satisfaction","College Success and Satisfaction"
"SATIS14","How satisfied are you with the general education or core curriculum courses?","SATIS14.verysatisfied",5,0.176083462,"CSS","College Senior Survey","Very satisfied","College Satisfaction","College Success and Satisfaction"
"SATIS15","How satisfied are you with the humanities courses?","SATIS15.cantrate",1,0.09245669,"CSS","College Senior Survey","Cant rate","College Satisfaction","College Success and Satisfaction"
"SATIS15","How satisfied are you with the humanities courses?","SATIS15.dissatisfied",2,0.036657888,"CSS","College Senior Survey","Dissatisfied","College Satisfaction","College Success and Satisfaction"
"SATIS15","How satisfied are you with the humanities courses?","SATIS15.neutral",3,0.22676003,"CSS","College Senior Survey","Neutral","College Satisfaction","College Success and Satisfaction"
"SATIS15","How satisfied are you with the humanities courses?","SATIS15.satisfied",4,0.464822282,"CSS","College Senior Survey","Satisfied","College Satisfaction","College Success and Satisfaction"
"SATIS15","How satisfied are you with the humanities courses?","SATIS15.verysatisfied",5,0.179303111,"CSS","College Senior Survey","Very satisfied","College Satisfaction","College Success and Satisfaction"
"SATIS16","How satisfied are you with the institutional support of racial/cultural differences?","SATIS16.cantrate",1,0.173337788,"CSS","College Senior Survey","Cant rate","College Satisfaction","College Success and Satisfaction"
"SATIS16","How satisfied are you with the institutional support of racial/cultural differences?","SATIS16.dissatisfied",2,0.140461076,"CSS","College Senior Survey","Dissatisfied","College Satisfaction","College Success and Satisfaction"
"SATIS16","How satisfied are you with the institutional support of racial/cultural differences?","SATIS16.neutral",3,0.340928834,"CSS","College Senior Survey","Neutral","College Satisfaction","College Success and Satisfaction"
"SATIS16","How satisfied are you with the institutional support of racial/cultural differences?","SATIS16.satisfied",4,0.273037087,"CSS","College Senior Survey","Satisfied","College Satisfaction","College Success and Satisfaction"
"SATIS16","How satisfied are you with the institutional support of racial/cultural differences?","SATIS16.verysatisfied",5,0.072235216,"CSS","College Senior Survey","Very satisfied","College Satisfaction","College Success and Satisfaction"
"SATIS17","How satisfied are you with the interaction with other students?","SATIS17.cantrate",1,0.003444186,"CSS","College Senior Survey","Cant rate","College Satisfaction","College Success and Satisfaction"
"SATIS17","How satisfied are you with the interaction with other students?","SATIS17.dissatisfied",2,0.032023066,"CSS","College Senior Survey","Dissatisfied","College Satisfaction","College Success and Satisfaction"
"SATIS17","How satisfied are you with the interaction with other students?","SATIS17.neutral",3,0.133576522,"CSS","College Senior Survey","Neutral","College Satisfaction","College Success and Satisfaction"
"SATIS17","How satisfied are you with the interaction with other students?","SATIS17.satisfied",4,0.51858574,"CSS","College Senior Survey","Satisfied","College Satisfaction","College Success and Satisfaction"
"SATIS17","How satisfied are you with the interaction with other students?","SATIS17.verysatisfied",5,0.312370486,"CSS","College Senior Survey","Very satisfied","College Satisfaction","College Success and Satisfaction"
"SATIS18","How satisfied are you with the job placement services for students?","SATIS18.cantrate",1,0.253671366,"CSS","College Senior Survey","Cant rate","College Satisfaction","College Success and Satisfaction"
"SATIS18","How satisfied are you with the job placement services for students?","SATIS18.dissatisfied",2,0.150222977,"CSS","College Senior Survey","Dissatisfied","College Satisfaction","College Success and Satisfaction"
"SATIS18","How satisfied are you with the job placement services for students?","SATIS18.neutral",3,0.263786203,"CSS","College Senior Survey","Neutral","College Satisfaction","College Success and Satisfaction"
"SATIS18","How satisfied are you with the job placement services for students?","SATIS18.satisfied",4,0.250499044,"CSS","College Senior Survey","Satisfied","College Satisfaction","College Success and Satisfaction"
"SATIS18","How satisfied are you with the job placement services for students?","SATIS18.verysatisfied",5,0.081820409,"CSS","College Senior Survey","Very satisfied","College Satisfaction","College Success and Satisfaction"
"SATIS19","How satisfied are you with the laboratory facilities and equipment?","SATIS19.cantrate",1,0.145967884,"CSS","College Senior Survey","Cant rate","College Satisfaction","College Success and Satisfaction"
"SATIS19","How satisfied are you with the laboratory facilities and equipment?","SATIS19.dissatisfied",2,0.089670417,"CSS","College Senior Survey","Dissatisfied","College Satisfaction","College Success and Satisfaction"
"SATIS19","How satisfied are you with the laboratory facilities and equipment?","SATIS19.neutral",3,0.238420197,"CSS","College Senior Survey","Neutral","College Satisfaction","College Success and Satisfaction"
"SATIS19","How satisfied are you with the laboratory facilities and equipment?","SATIS19.satisfied",4,0.391868506,"CSS","College Senior Survey","Satisfied","College Satisfaction","College Success and Satisfaction"
"SATIS19","How satisfied are you with the laboratory facilities and equipment?","SATIS19.verysatisfied",5,0.134072995,"CSS","College Senior Survey","Very satisfied","College Satisfaction","College Success and Satisfaction"
"SATIS20","How satisfied are you with the leadership opportunities?","SATIS20.cantrate",1,0.141598792,"CSS","College Senior Survey","Cant rate","College Satisfaction","College Success and Satisfaction"
"SATIS20","How satisfied are you with the leadership opportunities?","SATIS20.dissatisfied",2,0.029785329,"CSS","College Senior Survey","Dissatisfied","College Satisfaction","College Success and Satisfaction"
"SATIS20","How satisfied are you with the leadership opportunities?","SATIS20.neutral",3,0.280759325,"CSS","College Senior Survey","Neutral","College Satisfaction","College Success and Satisfaction"
"SATIS20","How satisfied are you with the leadership opportunities?","SATIS20.satisfied",4,0.3821105,"CSS","College Senior Survey","Satisfied","College Satisfaction","College Success and Satisfaction"
"SATIS20","How satisfied are you with the leadership opportunities?","SATIS20.verysatisfied",5,0.165746055,"CSS","College Senior Survey","Very satisfied","College Satisfaction","College Success and Satisfaction"
"SATIS21","How satisfied are you with the library facilities?","SATIS21.cantrate",1,0.010398512,"CSS","College Senior Survey","Cant rate","College Satisfaction","College Success and Satisfaction"
"SATIS21","How satisfied are you with the library facilities?","SATIS21.dissatisfied",2,0.165082892,"CSS","College Senior Survey","Dissatisfied","College Satisfaction","College Success and Satisfaction"
"SATIS21","How satisfied are you with the library facilities?","SATIS21.neutral",3,0.186391371,"CSS","College Senior Survey","Neutral","College Satisfaction","College Success and Satisfaction"
"SATIS21","How satisfied are you with the library facilities?","SATIS21.satisfied",4,0.437196832,"CSS","College Senior Survey","Satisfied","College Satisfaction","College Success and Satisfaction"
"SATIS21","How satisfied are you with the library facilities?","SATIS21.verysatisfied",5,0.200930393,"CSS","College Senior Survey","Very satisfied","College Satisfaction","College Success and Satisfaction"
"SATIS22","How satisfied are you with the opportunities for community service?","SATIS22.cantrate",1,0.171954319,"CSS","College Senior Survey","Cant rate","College Satisfaction","College Success and Satisfaction"
"SATIS22","How satisfied are you with the opportunities for community service?","SATIS22.dissatisfied",2,0.02937391,"CSS","College Senior Survey","Dissatisfied","College Satisfaction","College Success and Satisfaction"
"SATIS22","How satisfied are you with the opportunities for community service?","SATIS22.neutral",3,0.236833681,"CSS","College Senior Survey","Neutral","College Satisfaction","College Success and Satisfaction"
"SATIS22","How satisfied are you with the opportunities for community service?","SATIS22.satisfied",4,0.356472256,"CSS","College Senior Survey","Satisfied","College Satisfaction","College Success and Satisfaction"
"SATIS22","How satisfied are you with the opportunities for community service?","SATIS22.verysatisfied",5,0.205365835,"CSS","College Senior Survey","Very satisfied","College Satisfaction","College Success and Satisfaction"
"SATIS24","How satisfied are you with the opportunities to discuss coursework outside of class with professors?","SATIS24.cantrate",1,0.021086135,"CSS","College Senior Survey","Cant rate","College Satisfaction","College Success and Satisfaction"
"SATIS24","How satisfied are you with the opportunities to discuss coursework outside of class with professors?","SATIS24.dissatisfied",2,0.036204496,"CSS","College Senior Survey","Dissatisfied","College Satisfaction","College Success and Satisfaction"
"SATIS24","How satisfied are you with the opportunities to discuss coursework outside of class with professors?","SATIS24.neutral",3,0.158543863,"CSS","College Senior Survey","Neutral","College Satisfaction","College Success and Satisfaction"
"SATIS24","How satisfied are you with the opportunities to discuss coursework outside of class with professors?","SATIS24.satisfied",4,0.462767721,"CSS","College Senior Survey","Satisfied","College Satisfaction","College Success and Satisfaction"
"SATIS24","How satisfied are you with the opportunities to discuss coursework outside of class with professors?","SATIS24.verysatisfied",5,0.321397785,"CSS","College Senior Survey","Very satisfied","College Satisfaction","College Success and Satisfaction"
"SATIS25","How satisfied are you with the opportunities to participate in extracurricular activities?","SATIS25.cantrate",1,0.096111665,"CSS","College Senior Survey","Cant rate","College Satisfaction","College Success and Satisfaction"
"SATIS25","How satisfied are you with the opportunities to participate in extracurricular activities?","SATIS25.dissatisfied",2,0.040877368,"CSS","College Senior Survey","Dissatisfied","College Satisfaction","College Success and Satisfaction"
"SATIS25","How satisfied are you with the opportunities to participate in extracurricular activities?","SATIS25.neutral",3,0.175407112,"CSS","College Senior Survey","Neutral","College Satisfaction","College Success and Satisfaction"
"SATIS25","How satisfied are you with the opportunities to participate in extracurricular activities?","SATIS25.satisfied",4,0.396078431,"CSS","College Senior Survey","Satisfied","College Satisfaction","College Success and Satisfaction"
"SATIS25","How satisfied are you with the opportunities to participate in extracurricular activities?","SATIS25.verysatisfied",5,0.291525424,"CSS","College Senior Survey","Very satisfied","College Satisfaction","College Success and Satisfaction"
"SATIS26","How satisfied are you with the opportunities to take interdisciplinary courses?","SATIS26.cantrate",1,0.204862735,"CSS","College Senior Survey","Cant rate","College Satisfaction","College Success and Satisfaction"
"SATIS26","How satisfied are you with the opportunities to take interdisciplinary courses?","SATIS26.dissatisfied",2,0.062387282,"CSS","College Senior Survey","Dissatisfied","College Satisfaction","College Success and Satisfaction"
"SATIS26","How satisfied are you with the opportunities to take interdisciplinary courses?","SATIS26.neutral",3,0.294569501,"CSS","College Senior Survey","Neutral","College Satisfaction","College Success and Satisfaction"
"SATIS26","How satisfied are you with the opportunities to take interdisciplinary courses?","SATIS26.satisfied",4,0.329637299,"CSS","College Senior Survey","Satisfied","College Satisfaction","College Success and Satisfaction"
"SATIS26","How satisfied are you with the opportunities to take interdisciplinary courses?","SATIS26.verysatisfied",5,0.108543183,"CSS","College Senior Survey","Very satisfied","College Satisfaction","College Success and Satisfaction"
"SATIS27","How satisfied are you with the overall college experience?","SATIS27.cantrate",1,0.002301784,"CSS","College Senior Survey","Cant rate","College Satisfaction","College Success and Satisfaction"
